Date,BigVAR,GARCH,ARIMA,Multivariate_LSTM,Univariate_LSTM,WF_Univariate_LSTM,RW_benchmark,true_prices,Ensemble
2020-08-31,39.9544,38.243504,35.9311837693108,36.290684,37.792706,39.40331,36.76346,37.935658,37.935964628218464
2020-09-30,35.665737,39.983006,37.6004360259613,37.63128,38.879276,41.02434,37.935658,34.93729,38.46401250432688
2020-10-30,38.457237,35.138924,33.9283663628811,34.463078,35.884834,37.509605,34.93729,32.16279,35.89700739381352
2020-11-30,31.480408,30.926577,28.7760360876889,31.97601,33.14743,35.625767,32.16279,39.901066,31.98870468128148
2020-12-31,42.575874,42.76864,41.1429492919221,39.380196,40.78985,41.92483,39.901066,42.403404,41.43038988198702
2021-01-29,42.490116,44.488804,42.5330895061138,42.302277,43.2456,43.358704,42.403404,46.044827,43.0697650843523
2021-02-26,48.894474,45.529415,47.3520911867335,46.75293,46.75015,47.10303,46.044827,54.766045,47.063681697788915
2021-03-31,52.127193,55.15044,55.0517041481897,55.49518,55.230515,55.68553,54.766045,54.168797,54.79009369136495
2021-04-30,52.353786,53.538902,55.3077037857834,55.201992,54.575893,53.70197,54.168797,55.948418,54.11337446429723
2021-05-31,56.057415,60.269623,55.5263839478669,56.727413,56.19032,56.176228,55.948418,56.694202,56.82456382464448
2021-06-30,54.78584,61.014206,56.1489714180863,57.735096,56.86474,57.38955,56.694202,63.35807,57.32306723634772
2021-07-30,63.77187,70.93756,64.6106761865725,64.294624,63.338673,63.36562,63.35807,64.30497,65.0531705310954
2021-08-31,64.5295,70.20263,65.7578913687899,65.081245,64.25773,63.56717,64.30497,61.80879,65.56602772813164
2021-09-30,63.215412,60.531624,59.7924876971519,62.62881,61.72098,61.446217,61.80879,67.806564,61.555921782858654
2021-10-29,67.561386,68.21153,66.9362069174676,68.605194,67.5206,67.55555,67.806564,73.00571,67.7317444862446
2021-11-30,65.42992,71.10881,72.8987385099072,73.64535,72.62436,71.88528,73.00571,62.24202,71.26540975165119
2021-12-31,62.852726,63.422016,59.1907032155009,63.292988,62.044155,61.679638,62.24202,68.40809,62.08037103591682
2022-01-31,67.217735,67.6457,70.9257217450495,68.854355,67.94943,66.71534,68.40809,81.1838,68.21804695750825
2022-02-28,80.589066,88.57066,85.0461710868241,80.80723,80.45467,78.712006,81.1838,90.01694,82.36330051447068
2022-03-31,83.064735,89.49325,88.8686347472161,89.14022,89.10706,86.620636,90.01694,97.506096,87.71575595786936
2022-04-29,95.47424,99.912926,101.018948212855,95.7846,96.27749,96.67954,97.506096,103.68895,97.52462403547582
2022-05-31,104.56502,109.15782,104.609093530388,101.09339,102.15512,102.356026,103.68895,114.440094,103.98941158839801
2022-06-30,117.046135,119.57523,117.625958419446,110.19524,112.275604,115.196754,114.440094,109.50973,115.31915356990767
2022-07-29,114.58314,107.31193,107.22947444756,105.57642,107.83441,111.89681,109.50973,107.64188,109.07203074126
2022-08-31,103.386024,106.69239,107.590971847178,103.98127,105.69888,109.30293,107.64188,95.971756,106.108744307863
2022-09-30,94.280304,99.1193,92.5264155961596,93.70643,94.41342,97.46605,95.971756,89.736786,95.25198659935994
2022-10-31,90.58847,90.183975,88.3196961045575,87.85805,88.15313,91.72348,89.736786,95.96236,89.47113351742625
2022-11-30,93.039116,97.08835,98.4871046356992,93.29073,94.16998,95.74579,95.96236,82.09687,95.30351177261655
2022-12-30,74.83699,82.24192,79.8175557458515,80.04937,81.00764,82.91767,82.09687,80.25222,80.14519095764192
2023-01-31,84.544,86.10109,83.3394498810141,78.18316,79.03035,81.571335,80.25222,77.77778,82.12823081350234
2023-02-28,76.773865,82.99325,80.7673961419879,75.5488,76.76986,79.042854,77.77778,79.321106,78.64933752366466
2023-03-31,73.94828,80.197044,78.419433541581,76.90563,78.344604,82.79334,79.321106,73.59535,78.43472192359683
2023-04-28,79.789825,75.10065,74.4009384316071,71.75529,72.856926,76.92827,73.59535,72.18441,75.13864990526784
