Date,EUR Future 1 Month
2011-11-30,82.19545
2011-12-30,82.84855
2012-01-31,84.82116
2012-02-29,92.052536
2012-03-30,92.09323
2012-04-30,90.24095
2012-05-31,82.385765
2012-06-29,77.208496
2012-07-31,85.27308
2012-08-31,91.080376
2012-09-28,87.39502
2012-10-31,83.87346
2012-11-30,85.65378
2012-12-31,84.2189
2013-01-31,85.094635
2013-02-28,85.3029
2013-03-29,85.82573
2013-04-30,77.74149
2013-05-31,77.22902
2013-06-28,78.524216
2013-07-31,80.96527
2013-08-30,86.2275
2013-09-30,80.113846
2013-10-31,80.12367
2013-11-29,80.707825
2013-12-31,80.62286
2014-01-31,78.89664
2014-02-28,79.02478
2014-03-31,78.262764
2014-04-30,77.93322
2014-05-30,80.24203
2014-06-30,82.062515
2014-07-31,79.17849
2014-08-29,78.57904
2014-09-30,74.950516
2014-10-31,68.550896
2014-11-28,56.33633
2014-12-31,47.387997
2015-01-30,46.931183
2015-02-27,55.894962
2015-03-31,51.355885
2015-04-30,59.497505
2015-05-29,59.675953
2015-06-30,57.046738
2015-07-31,47.532776
2015-08-31,48.300777
2015-09-30,43.27637
2015-10-30,45.029984
2015-11-30,42.224327
2015-12-31,34.321487
2016-01-29,32.0746
2016-02-29,33.081947
2016-03-31,34.79789
2016-04-29,42.031265
2016-05-31,44.63708
2016-06-30,44.73258
2016-07-29,37.998924
2016-08-31,42.158092
2016-09-30,43.66711
2016-10-31,43.985065
2016-11-30,47.66267
2016-12-30,54.026814
2017-01-31,51.583626
2017-02-28,52.562405
2017-03-31,49.59632
2017-04-28,47.480495
2017-05-31,44.743862
2017-06-30,41.939438
2017-07-31,44.460396
2017-08-31,43.97985
2017-09-29,48.704926
2017-10-31,52.696205
2017-11-30,53.402218
2017-12-29,55.70179
2018-01-31,55.622684
2018-02-28,53.94456
2018-03-30,57.018826
2018-04-30,62.237125
2018-05-31,66.35594
2018-06-29,67.99042
2018-07-31,63.51039
2018-08-31,66.72987
2018-09-28,71.28577
2018-10-31,66.71676
2018-11-30,51.877705
2018-12-31,46.91724
2019-01-31,54.061844
2019-02-28,58.06877
2019-03-29,60.96452
2019-04-30,64.91306
2019-05-31,57.740173
2019-06-28,58.51578
2019-07-31,58.838932
2019-08-30,55.026405
2019-09-30,55.766582
2019-10-31,54.00825
2019-11-29,56.661827
2019-12-31,58.860252
2020-01-31,52.42946
2020-02-28,45.818974
2020-03-31,20.614632
2020-04-30,23.067093
2020-05-29,31.825962
2020-06-30,36.629875
2020-07-31,36.76346
2020-08-31,37.935658
2020-09-30,34.93729
2020-10-30,32.16279
2020-11-30,39.901066
2020-12-31,42.403404
2021-01-29,46.044827
2021-02-26,54.766045
2021-03-31,54.168797
2021-04-30,55.948418
2021-05-31,56.694202
2021-06-30,63.35807
2021-07-30,64.30497
2021-08-31,61.80879
2021-09-30,67.806564
2021-10-29,73.00571
2021-11-30,62.24202
2021-12-31,68.40809
2022-01-31,81.1838
2022-02-28,90.01694
2022-03-31,97.506096
2022-04-29,103.68895
2022-05-31,114.440094
2022-06-30,109.50973
2022-07-29,107.64188
2022-08-31,95.971756
2022-09-30,89.736786
2022-10-31,95.96236
2022-11-30,82.09687
2022-12-30,80.25222
2023-01-31,77.77778
2023-02-28,79.321106
2023-03-31,73.59535
2023-04-28,72.18441
